actor_episodes,actor_steps,critic_loss,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,policy_loss
26665,75016,0.34880558,4493,11656,30628,2069.503404378891,0.35485712
26675,75048,0.37343743,4494,11658,30647,2070.605344057083,0.34937885
26689,75094,0.24267308,4494,11658,30667,2071.7517166137695,0.4279179
26713,75160,0.47582108,4496,11662,30685,2072.8735032081604,0.3443557
26728,75201,0.34464216,4497,11664,30705,2074.0721390247345,0.33944082
26748,75261,0.3674909,4498,11666,30730,2075.258531808853,0.36019892
26756,75289,0.37733406,4498,11666,30752,2076.3610923290253,0.33160502
26785,75376,0.40828383,4501,11672,30772,2077.464109182358,0.37939996
26806,75438,0.32129645,4502,11674,30796,2078.696865081787,0.36757526
26822,75485,0.37957183,4502,11674,30819,2079.8820214271545,0.34843647
26841,75538,0.31523377,4504,11678,30844,2081.1454298496246,0.3042968
26857,75582,0.26080233,4505,11680,30866,2082.3689510822296,0.3488164
26880,75642,0.34396866,4505,11680,30887,2083.57572889328,0.3485602
26898,75695,0.3126026,4507,11684,30908,2084.7190544605255,0.30529368
26905,75717,0.41013932,4508,11686,30927,2085.8195340633392,0.35650682
26924,75770,0.3802891,4508,11686,30951,2087.02321267128,0.35148847
26937,75811,0.31784037,4510,11690,30970,2088.296175956726,0.36009443
26956,75867,0.34248048,4510,11690,30991,2089.4542877674103,0.35971642
26985,75965,0.32518,4512,11694,31011,2090.562563896179,0.41410068
26998,76004,0.31629416,4514,11698,31028,2091.6833770275116,0.33585852
27012,76050,0.32746768,4516,11702,31049,2092.997225046158,0.32310474
27030,76103,0.34157354,4517,11704,31071,2094.158421278,0.3162166
27049,76151,0.31964174,4517,11704,31091,2095.2632155418396,0.30247793
27064,76194,0.33804673,4519,11708,31109,2096.7114560604095,0.30230436
27077,76233,0.33852458,4520,11710,31132,2097.9494886398315,0.44283068
27087,76264,0.27836907,4521,11712,31150,2099.0766110420227,0.42485818
27098,76301,0.35111323,4521,11712,31170,2100.3033237457275,0.36342642
27122,76375,0.41703466,4524,11718,31190,2101.412183046341,0.3461777
27136,76412,0.31838107,4524,11718,31206,2102.5550022125244,0.37281227
27154,76468,0.35603482,4526,11722,31223,2103.7526597976685,0.32833484
27167,76509,0.3535321,4526,11722,31243,2104.8587334156036,0.3628447
27178,76539,0.37080795,4528,11726,31263,2106.1796803474426,0.31040147
27200,76606,0.3895009,4529,11728,31287,2107.37774682045,0.35270116
27211,76638,0.34339938,4529,11728,31312,2108.479108572006,0.33273804
27232,76701,0.35883617,4531,11732,31336,2109.581243991852,0.34399498
27244,76737,0.29805052,4532,11734,31349,2110.7216758728027,0.31981677
27254,76770,0.367665,4533,11736,31369,2111.8444719314575,0.33819228
27275,76834,0.36070883,4534,11738,31390,2113.0154416561127,0.37022817
27293,76882,0.35787362,4536,11742,31410,2114.2404420375824,0.42159387
27324,76978,0.40459034,4538,11746,31429,2115.4261424541473,0.37527907
27339,77024,0.37023714,4538,11746,31453,2116.576092481613,0.3930981
27349,77050,0.41735846,4540,11750,31473,2117.7561087608337,0.43407077
27369,77107,0.32892305,4541,11752,31495,2118.877281665802,0.4365584
27386,77153,0.3309145,4541,11752,31513,2120.120504617691,0.4315095
27396,77181,0.32472464,4543,11756,31531,2121.5134830474854,0.43895826
